School Name,SchoolYear,Graduate Year,No. of Graduates,No. of Takers,No. of Passers,%Passers,No. of Graduates with no information,No. of Graduates who did not take the bar,No. of Graduates with Alternative Pathways*,Pass % (including Alternative Pathways),2020 Graduates,2020 Takers,2020 Passers,2020 Graduates with no information,2020 Graduates who did not take the bar,2020 Graduates with Diploma Privilege*,Pass % (including Diploma Privilege),2021 Graduates,2021 Takers,2021 Passers,2021 Graduates with no information,2021 Graduates who did not take the bar,2021 Graduates with Alternative Pathways*,2022 Graduates,2022 Takers,2022 Passers,2022 Graduates with no information,2022 Graduates who did not take the bar,2022 Graduates with Alternative Pathways*
Hofstra University,2024,,,,,85.11%,,,,85.11%,,,,,,,,267.0,262.0,223.0,0.0,5.0,0.0,,,,,,
"Houston, University of",2024,,,,,93.47%,,,,93.47%,,,,,,,,205.0,199.0,186.0,5.0,1.0,0.0,,,,,,
Howard University,2024,,,,,77.69%,,,,77.69%,,,,,,,,141.0,121.0,94.0,0.0,20.0,0.0,,,,,,
"Idaho, University of",2024,,,,,79.71%,,,,79.71%,,,,,,,,143.0,138.0,110.0,0.0,5.0,0.0,,,,,,
"Illinois, University of",2024,,,,,93.10%,,,,93.10%,,,,,,,,121.0,116.0,108.0,0.0,5.0,0.0,,,,,,
"Illinois-Chicago, University of",2024,,,,,80.51%,,,,80.51%,,,,,,,,289.0,277.0,223.0,4.0,8.0,0.0,,,,,,
Indiana University-Bloomington,2024,,,,,97.35%,,,,97.35%,,,,,,,,164.0,151.0,147.0,0.0,13.0,0.0,,,,,,
Indiana University-Indianapolis,2024,,,,,85.00%,,,,85.00%,,,,,,,,236.0,220.0,187.0,4.0,12.0,0.0,,,,,,
Inter American University of Puerto Rico,2024,,,,,65.84%,,,,65.84%,,,,,,,,181.0,161.0,106.0,11.0,9.0,0.0,,,,,,
"Iowa, University of",2024,,,,,90.84%,,,,90.84%,,,,,,,,141.0,131.0,119.0,0.0,10.0,0.0,,,,,,
"Kansas, The University of",2024,,,,,100.00%,,,,100.00%,,,,,,,,98.0,97.0,97.0,0.0,1.0,0.0,,,,,,
"Kentucky, University of",2024,,,,,90.91%,,,,90.91%,,,,,,,,130.0,121.0,110.0,5.0,4.0,0.0,,,,,,
Lewis & Clark Law School,2024,,,,,90.18%,,,,90.18%,,,,,,,,176.0,163.0,147.0,0.0,13.0,0.0,,,,,,
Liberty University,2024,,,,,96.88%,,,,96.88%,,,,,,,,65.0,64.0,62.0,0.0,1.0,0.0,,,,,,
Lincoln Memorial University,2024,,,,,80.95%,,,,80.95%,,,,,,,,86.0,84.0,68.0,0.0,2.0,0.0,,,,,,
Louisiana State University,2024,,,,,91.67%,,,,91.67%,,,,,,,,184.0,180.0,165.0,2.0,2.0,0.0,,,,,,
"Louisville, University of",2024,,,,,90.18%,,,,90.18%,,,,,,,,119.0,112.0,101.0,2.0,5.0,0.0,,,,,,
Loyola Marymount University-Los Angeles,2024,,,,,96.91%,,,,96.91%,,,,,,,,309.0,291.0,282.0,,18.0,,,,,,,
Loyola University-Chicago,2024,,,,,90.00%,,,,90.00%,,,,,,,,236.0,230.0,207.0,3.0,3.0,0.0,,,,,,
Loyola University-New Orleans,2024,,,,,93.20%,,,,93.20%,,,,,,,,153.0,147.0,137.0,0.0,6.0,0.0,,,,,,
"Maine, University of",2024,,,,,79.49%,,,,79.49%,,,,,,,,81.0,78.0,62.0,0.0,3.0,0.0,,,,,,
Marquette University,2024,,,,,100.00%,,,,100.00%,,,,,,,,189.0,1.0,1.0,0.0,188.0,186.0,,,,,,
"Maryland, University of",2024,,,,,88.94%,,,,88.94%,,,,,,,,210.0,199.0,177.0,3.0,8.0,0.0,,,,,,
"Massachusetts/Dartmouth, University of",2024,,,,,81.48%,,,,81.48%,,,,,,,,86.0,81.0,66.0,0.0,5.0,0.0,,,,,,
"Memphis, The University of",2024,,,,,86.84%,,,,86.84%,,,,,,,,117.0,114.0,99.0,3.0,0.0,0.0,,,,,,
Mercer University,2024,,,,,91.67%,,,,91.67%,,,,,,,,122.0,120.0,110.0,0.0,2.0,0.0,,,,,,
"Miami, University of",2024,,,,,91.14%,,,,91.14%,,,,,,,,363.0,350.0,319.0,0.0,13.0,0.0,,,,,,
Michigan State University,2024,,,,,85.88%,,,,85.88%,,,,,,,,193.0,170.0,146.0,1.0,23.0,0.0,,,,,,
"Michigan, University of",2024,,,,,97.21%,,,,97.21%,,,,,,,,364.0,358.0,348.0,7.0,5.0,0.0,,,,,,
"Minnesota, University of",2024,,,,,98.08%,,,,98.10%,,,,,,,,223.0,208.0,204.0,0.0,13.0,2.0,,,,,,
Mississippi College,2024,,,,,75.61%,,,,75.61%,,,,,,,,87.0,82.0,62.0,0.0,5.0,0.0,,,,,,
"Mississippi, The University of",2024,,,,,84.06%,,,,84.06%,,,,,,,,144.0,138.0,116.0,0.0,6.0,0.0,,,,,,
"Missouri, University of",2024,,,,,90.91%,,,,90.91%,,,,,,,,91.0,88.0,80.0,0.0,3.0,0.0,,,,,,
"Missouri-Kansas City, University of",2024,,,,,92.80%,,,,92.80%,,,,,,,,135.0,125.0,116.0,0.0,10.0,0.0,,,,,,
Mitchell/Hamline School of Law,2024,,,,,77.70%,,,,77.70%,,,,,,,,331.0,305.0,237.0,0.0,26.0,0.0,,,,,,
"Montana, University of",2024,,,,,97.14%,,,,97.14%,,,,,,,,71.0,70.0,68.0,1.0,0.0,0.0,,,,,,
"Nebraska, University of",2024,,,,,98.13%,,,,98.13%,,,,,,,,112.0,107.0,105.0,1.0,4.0,0.0,,,,,,
"Nevada-Las Vegas, University of",2024,,,,,84.57%,,,,84.57%,,,,,,,,168.0,162.0,137.0,6.0,0.0,0.0,,,,,,
New England Law/Boston,2024,,,,,89.12%,,,,89.12%,,,,,,,,154.0,147.0,131.0,1.0,6.0,0.0,,,,,,
"New Hampshire, University of",2024,,,,,90.91%,,,,90.91%,,,,,,,,84.0,77.0,70.0,2.0,5.0,0.0,,,,,,
"New Mexico, The University of",2024,,,,,92.86%,,,,92.86%,,,,,,,,100.0,98.0,91.0,2.0,0.0,0.0,,,,,,
New York Law School,2024,,,,,87.67%,,,,87.67%,,,,,,,,310.0,300.0,263.0,10.0,0.0,0.0,,,,,,
New York University,2024,,,,,99.34%,,,,99.34%,,,,,,,,464.0,458.0,455.0,0.0,6.0,0.0,,,,,,
North Carolina Central University,2024,,,,,87.64%,,,,87.64%,,,,,,,,89.0,89.0,78.0,0.0,0.0,0.0,,,,,,
"North Carolina, University of",2024,,,,,94.33%,,,,94.33%,,,,,,,,206.0,194.0,183.0,1.0,11.0,0.0,,,,,,
"North Dakota, University of",2024,,,,,91.23%,,,,91.23%,,,,,,,,60.0,57.0,52.0,0.0,3.0,0.0,,,,,,
"North Texas at Dallas, University of",2024,,,,,88.46%,,,,88.46%,,,,,,,,110.0,104.0,92.0,0.0,6.0,0.0,,,,,,
Northeastern University,2024,,,,,93.44%,,,,93.44%,,,,,,,,198.0,183.0,171.0,0.0,15.0,0.0,,,,,,
Northern Illinois University,2024,,,,,90.67%,,,,90.67%,,,,,,,,83.0,75.0,68.0,0.0,8.0,0.0,,,,,,
Northern Kentucky University,2024,,,,,93.33%,,,,93.33%,,,,,,,,102.0,90.0,84.0,12.0,2.0,0.0,,,,,,
Northwestern University,2024,,,,,98.88%,,,,98.88%,,,,,,,,273.0,267.0,264.0,6.0,0.0,0.0,,,,,,
"Notre Dame, University of",2024,,,,,96.11%,,,,96.11%,,,,,,,,184.0,180.0,173.0,1.0,3.0,0.0,,,,,,
Nova Southeastern University,2024,,,,,78.38%,,,,78.38%,,,,,,,,192.0,185.0,145.0,2.0,5.0,0.0,,,,,,
Ohio Northern University,2024,,,,,83.33%,,,,83.33%,,,,,,,,41.0,36.0,30.0,1.0,4.0,0.0,,,,,,
Oklahoma City University,2024,,,,,84.85%,,,,84.85%,,,,,,,,135.0,132.0,112.0,3.0,,0.0,,,,,,
"Oklahoma, University of",2024,,,,,96.47%,,,,96.47%,,,,,,,,171.0,170.0,164.0,0.0,1.0,0.0,,,,,,
"Oregon, University of",2024,,,,,93.55%,,,,93.55%,,,,,,,,127.0,124.0,116.0,0.0,3.0,0.0,,,,,,
Pace University,2024,,,,,87.13%,,,,87.13%,,,,,,,,209.0,202.0,176.0,0.0,7.0,0.0,,,,,,
"Pacific, University of the",2024,,,,,82.51%,,,,82.51%,,,,,,,,188.0,183.0,151.0,3.0,2.0,0.0,,,,,,
Penn State Dickinson Law,2024,,,,,97.18%,,,,97.18%,,,,,,,,72.0,71.0,69.0,0.0,1.0,0.0,,,,,,
Penn State University,2024,,,,,96.43%,,,,96.43%,,,,,,,,118.0,112.0,108.0,4.0,2.0,0.0,,,,,,
"Pennsylvania, University of",2024,,,,,99.19%,,,,99.19%,,,,,,,,258.0,248.0,246.0,0.0,10.0,0.0,,,,,,
Pepperdine University,2024,,,,,91.24%,,,,91.24%,,,,,,,,148.0,137.0,125.0,0.0,11.0,0.0,,,,,,
"Pittsburgh, University of",2024,,,,,94.26%,,,,94.26%,,,,,,,,129.0,122.0,115.0,0.0,7.0,0.0,,,,,,
Pontifical Catholic University of Puerto Rico,2024,,,,,63.33%,,,,63.33%,,,,,,,,95.0,90.0,57.0,1.0,4.0,0.0,,,,,,
"Puerto Rico, University of",2024,,,,,80.16%,,,,80.16%,,,,,,,,137.0,126.0,101.0,0.0,11.0,0.0,,,,,,
Quinnipiac University,2024,,,,,82.47%,,,,82.47%,,,,,,,,107.0,97.0,80.0,5.0,5.0,0.0,,,,,,
Regent University,2024,,,,,93.83%,,,,93.98%,,,,,,,,86.0,81.0,76.0,0.0,5.0,2.0,,,,,,
"Richmond, University of",2024,,,,,94.40%,,,,94.40%,,,,,,,,134.0,125.0,118.0,0.0,9.0,0.0,,,,,,
Roger Williams University,2024,,,,,79.58%,,,,79.58%,,,,,,,,148.0,142.0,113.0,0.0,6.0,0.0,,,,,,
Rutgers University,2024,,,,,79.66%,,,,79.66%,,,,,,,,380.0,354.0,282.0,23.0,3.0,0.0,,,,,,
Saint Louis University,2024,,,,,95.09%,,,,95.09%,,,,,,,,167.0,163.0,155.0,2.0,2.0,0.0,,,,,,
Samford University,2024,,,,,93.80%,,,,93.80%,,,,,,,,132.0,129.0,121.0,2.0,3.0,0.0,,,,,,
"San Diego, University of",2024,,,,,92.06%,,,,92.06%,,,,,,,,222.0,214.0,197.0,1.0,7.0,0.0,,,,,,
"San Francisco, University of",2024,,,,,83.33%,,,,83.33%,,,,,,,,107.0,102.0,85.0,,5.0,0.0,,,,,,
Santa Clara University,2024,,,,,86.07%,,,,86.07%,,,,,,,,214.0,201.0,173.0,,13.0,,,,,,,
Seattle University,2024,,,,,89.67%,,,,89.67%,,,,,,,,197.0,184.0,165.0,8.0,5.0,0.0,,,,,,
Seton Hall University,2024,,,,,89.95%,,,,89.95%,,,,,,,,221.0,209.0,188.0,6.0,6.0,0.0,,,,,,
"South Carolina, University of",2024,,,,,88.18%,,,,88.18%,,,,,,,,207.0,203.0,179.0,3.0,1.0,0.0,,,,,,
"South Dakota, University of",2024,,,,,83.33%,,,,83.33%,,,,,,,,63.0,60.0,50.0,0.0,3.0,0.0,,,,,,
South Texas College of Law Houston,2024,,,,,90.38%,,,,90.38%,,,,,,,,264.0,260.0,235.0,0.0,4.0,0.0,,,,,,
"Southern California, University of",2024,,,,,97.87%,,,,97.87%,,,,,,,,191.0,188.0,184.0,0.0,3.0,0.0,,,,,,
Southern Illinois University,2024,,,,,76.27%,,,,76.27%,,,,,,,,62.0,59.0,45.0,0.0,3.0,0.0,,,,,,
Southern Methodist University,2024,,,,,95.61%,,,,95.61%,,,,,,,,210.0,205.0,196.0,0.0,5.0,0.0,,,,,,
Southern University,2024,,,,,72.15%,,,,72.15%,,,,,,,,201.0,158.0,114.0,43.0,0.0,0.0,,,,,,
Southwestern Law School,2024,,,,,89.59%,,,,89.59%,,,,,,,,223.0,221.0,198.0,2.0,0.0,0.0,,,,,,
St. John's University,2024,,,,,97.38%,,,,97.38%,,,,,,,,236.0,229.0,223.0,1.0,6.0,0.0,,,,,,
St. Mary's University,2024,,,,,91.71%,,,,91.71%,,,,,,,,200.0,193.0,177.0,0.0,7.0,0.0,,,,,,
St. Thomas University (Miami),2024,,,,,75.68%,,,,75.68%,,,,,,,,150.0,148.0,112.0,0.0,2.0,,,,,,,
"St. Thomas, (Minneapolis) University of",2024,,,,,91.49%,,,,91.49%,,,,,,,,142.0,141.0,129.0,0.0,1.0,0.0,,,,,,
Stanford University,2024,,,,,98.82%,,,,98.82%,,,,,,,,182.0,169.0,167.0,,13.0,,,,,,,
Stetson University,2024,,,,,89.75%,,,,89.75%,,,,,,,,268.0,244.0,219.0,,24.0,,,,,,,
Suffolk University,2024,,,,,86.88%,,,,86.88%,,,,,,,,338.0,320.0,278.0,18.0,,,,,,,,
Syracuse University,2024,,,,,90.36%,,,,90.36%,,,,,,,,173.0,166.0,150.0,1.0,6.0,0.0,,,,,,
Temple University,2024,,,,,92.24%,,,,92.24%,,,,,,,,239.0,232.0,214.0,3.0,4.0,0.0,,,,,,
"Tennessee, University of",2024,,,,,91.82%,,,,91.82%,,,,,,,,120.0,110.0,101.0,4.0,5.0,0.0,,,,,,
Texas A&M University,2024,,,,,98.19%,,,,98.19%,,,,,,,,170.0,166.0,163.0,0.0,4.0,0.0,,,,,,
Texas Southern University,2024,,,,,77.78%,,,,77.78%,,,,,,,,178.0,171.0,133.0,0.0,7.0,0.0,,,,,,
Texas Tech University,2024,,,,,94.74%,,,,94.74%,,,,,,,,133.0,133.0,126.0,0.0,0.0,0.0,,,,,,
"Texas, University of",2024,,,,,98.09%,,,,98.09%,,,,,,,,372.0,366.0,359.0,0.0,6.0,0.0,,,,,,
The Ohio State University,2024,,,,,96.43%,,,,96.43%,,,,,,,,175.0,168.0,162.0,0.0,7.0,0.0,,,,,,
"Toledo, The University of",2024,,,,,81.69%,,,,81.69%,,,,,,,,75.0,71.0,58.0,4.0,0.0,0.0,,,,,,
Touro University,2024,,,,,77.10%,,,,77.10%,,,,,,,,134.0,131.0,101.0,0.0,3.0,0.0,,,,,,
Tulane University,2024,,,,,89.69%,,,,89.69%,,,,,,,,202.0,194.0,174.0,5.0,0.0,0.0,,,,,,
"Tulsa, The University of",2024,,,,,81.91%,,,,81.91%,,,,,,,,99.0,94.0,77.0,2.0,2.0,0.0,,,,,,
"Utah, The University of",2024,,,,,96.51%,,,,96.51%,,,,,,,,88.0,86.0,83.0,0.0,2.0,0.0,,,,,,
Vanderbilt University,2024,,,,,98.94%,,,,98.94%,,,,,,,,191.0,189.0,187.0,0.0,2.0,0.0,,,,,,
Vermont Law School,2024,,,,,75.18%,,,,75.18%,,,,,,,,162.0,141.0,106.0,10.0,11.0,0.0,,,,,,
Villanova University,2024,,,,,96.41%,,,,96.41%,,,,,,,,172.0,167.0,161.0,0.0,5.0,0.0,,,,,,
"Virginia, University of",2024,,,,,99.05%,,,,99.05%,,,,,,,,318.0,316.0,313.0,0.0,2.0,0.0,,,,,,
Wake Forest University,2024,,,,,96.95%,,,,96.95%,,,,,,,,174.0,164.0,159.0,3.0,7.0,0.0,,,,,,
Washburn University,2024,,,,,88.89%,,,,88.89%,,,,,,,,101.0,99.0,88.0,1.0,1.0,0.0,,,,,,
Washington and Lee University,2024,,,,,94.83%,,,,94.83%,,,,,,,,118.0,116.0,110.0,0.0,2.0,0.0,,,,,,
Washington University (St. Louis),2024,,,,,94.47%,,,,94.47%,,,,,,,,246.0,235.0,222.0,0.0,11.0,0.0,,,,,,
"Washington, University of",2024,,,,,98.73%,,,,98.73%,,,,,,,,166.0,157.0,155.0,0.0,9.0,0.0,,,,,,
Wayne State University,2024,,,,,91.87%,,,,91.87%,,,,,,,,131.0,123.0,113.0,0.0,8.0,0.0,,,,,,
West Virginia University,2024,,,,,88.12%,,,,88.12%,,,,,,,,103.0,101.0,89.0,0.0,2.0,0.0,,,,,,
Western New England University,2024,,,,,75.71%,,,,75.71%,,,,,,,,73.0,70.0,53.0,0.0,3.0,0.0,,,,,,
"Western State, Westcliff University",2024,,,,,68.42%,,,,68.42%,,,,,,,,76.0,76.0,52.0,0.0,0.0,0.0,,,,,,
Widener University Commonwealth Law School,2024,,,,,80.25%,,,,80.25%,,,,,,,,84.0,81.0,65.0,0.0,3.0,0.0,,,,,,
Widener University Delaware Law School,2024,,,,,81.77%,,,,81.77%,,,,,,,,186.0,181.0,148.0,1.0,4.0,0.0,,,,,,
Willamette University,2024,,,,,83.33%,,,,83.33%,,,,,,,,101.0,96.0,80.0,0.0,5.0,0.0,,,,,,
William & Mary,2024,,,,,97.65%,,,,97.65%,,,,,,,,179.0,170.0,166.0,2.0,7.0,0.0,,,,,,
"Wisconsin, University of",2024,,,,,92.31%,,,,99.61%,,,,,,,,265.0,13.0,12.0,4.0,248.0,245.0,,,,,,
"Wyoming, University of",2024,,,,,88.16%,,,,88.16%,,,,,,,,79.0,76.0,67.0,0.0,3.0,0.0,,,,,,
Yale University,2024,,,,,99.04%,,,,99.04%,,,,,,,,221.0,208.0,206.0,0.0,13.0,0.0,,,,,,
*Alternative Pathways refers to graduates who secure non-temporary licensure without sitting for a bar exam.,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, The University of",2025,,,,,95.00%,,,,95.00%,,,,,,,,,,,,,,124.0,120.0,114.0,0.0,4.0,0.0
"Alabama, The University of",2025,,,,,95.42%,,,,95.42%,,,,,,,,,,,,,,132.0,131.0,125.0,1.0,0.0,0.0
Albany Law School,2025,,,,,88.68%,,,,88.68%,,,,,,,,,,,,,,164.0,159.0,141.0,4.0,1.0,0.0
American University,2025,,,,,85.67%,,,,85.67%,,,,,,,,,,,,,,315.0,300.0,257.0,4.0,11.0,
Appalachian School of Law,2025,,,,,89.47%,,,,89.47%,,,,,,,,,,,,,,39.0,38.0,34.0,1.0,0.0,0.0
Arizona State University,2025,,,,,94.49%,,,,94.49%,,,,,,,,,,,,,,276.0,272.0,257.0,1.0,3.0,0.0
"Arizona, The University of",2025,,,,,93.02%,,,,93.02%,,,,,,,,,,,,,,139.0,129.0,120.0,0.0,10.0,0.0
"Arkansas at Little Rock, University of",2025,,,,,87.14%,,,,87.14%,,,,,,,,,,,,,,146.0,140.0,122.0,0.0,6.0,0.0
"Arkansas, University of",2025,,,,,93.33%,,,,93.33%,,,,,,,,,,,,,,112.0,105.0,98.0,0.0,7.0,0.0
Atlanta's John Marshall Law School,2025,,,,,92.45%,,,,92.45%,,,,,,,,,,,,,,58.0,53.0,49.0,1.0,4.0,0.0
Ave Maria School of Law,2025,,,,,85.19%,,,,85.19%,,,,,,,,,,,,,,86.0,81.0,69.0,0.0,5.0,0.0
"Baltimore, University of",2025,,,,,78.36%,,,,78.36%,,,,,,,,,,,,,,188.0,171.0,134.0,0.0,17.0,0.0
Barry University,2025,,,,,78.40%,,,,78.40%,,,,,,,,,,,,,,170.0,162.0,127.0,2.0,6.0,0.0
Baylor University,2025,,,,,100.00%,,,,100.00%,,,,,,,,,,,,,,144.0,141.0,141.0,0.0,3.0,0.0
Belmont University,2025,,,,,93.04%,,,,93.04%,,,,,,,,,,,,,,120.0,115.0,107.0,0.0,5.0,0.0
Boston College,2025,,,,,96.05%,,,,96.05%,,,,,,,,,,,,,,261.0,253.0,243.0,4.0,4.0,0.0
Boston University,2025,,,,,96.02%,,,,96.02%,,,,,,,,,,,,,,231.0,226.0,217.0,,5.0,
Brigham Young University,2025,,,,,99.13%,,,,99.13%,,,,,,,,,,,,,,119.0,115.0,114.0,0.0,4.0,0.0
Brooklyn Law School,2025,,,,,93.45%,,,,93.45%,,,,,,,,,,,,,,342.0,336.0,314.0,1.0,5.0,0.0
"Buffalo, University at",2025,,,,,86.92%,,,,86.92%,,,,,,,,,,,,,,133.0,130.0,113.0,2.0,1.0,0.0
California Western School of Law,2025,,,,,73.95%,,,,73.95%,,,,,,,,,,,,,,271.0,261.0,193.0,0.0,10.0,0.0
"California-Berkeley, University of",2025,,,,,98.58%,,,,98.58%,,,,,,,,,,,,,,358.0,352.0,347.0,5.0,1.0,0.0
"California-Davis, University of",2025,,,,,92.82%,,,,92.82%,,,,,,,,,,,,,,217.0,209.0,194.0,4.0,4.0,0.0
"California-Irvine, University of",2025,,,,,92.70%,,,,92.70%,,,,,,,,,,,,,,140.0,137.0,127.0,0.0,3.0,0.0
"California-Los Angeles, University of",2025,,,,,96.98%,,,,96.98%,,,,,,,,,,,,,,339.0,331.0,321.0,8.0,0.0,0.0
"California-San Francisco, University of",2025,,,,,89.67%,,,,89.67%,,,,,,,,,,,,,,308.0,300.0,269.0,0.0,8.0,0.0
Campbell University,2025,,,,,94.19%,,,,94.19%,,,,,,,,,,,,,,157.0,155.0,146.0,0.0,2.0,0.0
Capital University Law School,2025,,,,,90.24%,,,,90.24%,,,,,,,,,,,,,,133.0,123.0,111.0,0.0,10.0,0.0
"Cardozo, Yeshiva University",2025,,,,,91.20%,,,,91.20%,,,,,,,,,,,,,,287.0,284.0,259.0,1.0,2.0,0.0
Case Western Reserve University,2025,,,,,88.89%,,,,88.89%,,,,,,,,,,,,,,115.0,108.0,96.0,1.0,6.0,0.0
"Catholic University of America, The",2025,,,,,89.91%,,,,89.91%,,,,,,,,,,,,,,110.0,109.0,98.0,0.0,1.0,0.0
Chapman University,2025,,,,,95.30%,,,,95.30%,,,,,,,,,,,,,,149.0,149.0,142.0,0.0,0.0,0.0
Charleston School of Law,2025,,,,,84.91%,,,,84.91%,,,,,,,,,,,,,,169.0,159.0,135.0,3.0,7.0,0.0
