School Name,SchoolYear,Graduate Year,Total Graduates,Graduates who did not take the bar,Graduates with No Information,First Time Takers from Prior Years,Total First Time Takers,Total First Time Passers,Grads Admitted via Alternative Pathways,AvgSchoolPassPercent*,AvgStatePassPercent**,TotalDifferencePercent***,Pass % including Grads Admitted via Alternative Pathways,Graduates In 2022,Graduates who did not take the bar in 2022,Number of Early-Takers,Grads Admitted via Diploma Privilege,Pass % including Grads Admitted via Diploma Privilege,Graduates In 2023,Graduates who did not take the bar in 2023,Graduates who took bar exam before graduation,Graduates who took bar exam after graduation,Graduates In 2024,Graduates who did not take the bar in 2024
TEMPLE UNIVERSITY,2022,2021.0,239.0,10.0,18.0,17.0,228.0,186.0,0.0,81.58%,74.83%,6.75%,81.58%,,,,,,,,,,,
"TENNESSEE, UNIVERSITY OF",2022,2021.0,120.0,14.0,5.0,12.0,113.0,100.0,0.0,88.50%,72.57%,15.93%,88.50%,,,,,,,,,,,
TEXAS A&M UNIVERSITY,2022,2021.0,170.0,8.0,0.0,9.0,171.0,159.0,0.0,92.98%,77.57%,15.41%,92.98%,,,,,,,,,,,
"TEXAS AT AUSTIN, UNIVERSITY OF",2022,2021.0,372.0,19.0,1.0,45.0,397.0,375.0,0.0,94.45%,77.95%,16.50%,94.46%,,,,,,,,,,,
TEXAS SOUTHERN UNIVERSITY,2022,2021.0,164.0,44.0,0.0,54.0,174.0,93.0,0.0,53.45%,77.47%,-24.02%,53.45%,,,,,,,,,,,
TEXAS TECH UNIVERSITY,2022,2021.0,133.0,5.0,0.0,17.0,145.0,129.0,0.0,88.96%,77.39%,11.57%,88.97%,,,,,,,,,,,
"TOLEDO, UNIVERSITY OF",2022,2021.0,75.0,23.0,6.0,25.0,71.0,55.0,0.0,77.47%,77.76%,-0.29%,77.46%,,,,,,,,,,,
TOURO UNIVERSITY,2022,2021.0,134.0,17.0,0.0,7.0,124.0,78.0,0.0,62.90%,85.67%,-22.77%,62.90%,,,,,,,,,,,
TULANE UNIVERSITY,2022,2021.0,202.0,14.0,2.0,22.0,208.0,164.0,0.0,78.85%,77.14%,1.71%,78.85%,,,,,,,,,,,
"TULSA, UNIVERSITY OF",2022,2021.0,99.0,45.0,0.0,37.0,91.0,67.0,0.0,73.63%,78.47%,-4.84%,73.63%,,,,,,,,,,,
UNIVERSITY OF BUFFALO-SUNY,2022,2021.0,139.0,3.0,11.0,9.0,134.0,98.0,0.0,73.13%,86.11%,-12.98%,73.13%,,,,,,,,,,,
"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",2022,2021.0,287.0,29.0,2.0,34.0,290.0,237.0,0.0,81.72%,77.05%,4.67%,81.72%,,,,,,,,,,,
UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,2022,2021.0,289.0,75.0,3.0,67.0,278.0,179.0,0.0,64.39%,76.98%,-12.59%,64.39%,,,,,,,,,,,
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,2022,2021.0,86.0,13.0,0.0,2.0,75.0,48.0,0.0,64.00%,79.29%,-15.29%,64.00%,,,,,,,,,,,
UNIVERSITY OF NEVADA - LAS VEGAS,2022,2021.0,166.0,40.0,0.0,26.0,152.0,113.0,0.0,73.86%,68.53%,5.33%,74.34%,,,,,,,,,,,
UNT DALLAS COLLEGE OF LAW,2022,2021.0,109.0,13.0,0.0,8.0,104.0,71.0,0.0,68.27%,77.45%,-9.18%,68.27%,,,,,,,,,,,
"UTAH, UNIVERSITY OF",2022,2021.0,88.0,11.0,1.0,9.0,85.0,79.0,0.0,92.94%,87.62%,5.32%,92.94%,,,,,,,,,,,
VANDERBILT UNIVERSITY,2022,2021.0,191.0,8.0,1.0,24.0,206.0,196.0,0.0,95.15%,78.02%,17.13%,95.15%,,,,,,,,,,,
VERMONT LAW SCHOOL,2022,2021.0,161.0,24.0,19.0,26.0,144.0,85.0,0.0,59.03%,71.93%,-12.90%,59.03%,,,,,,,,,,,
VILLANOVA UNIVERSITY,2022,2021.0,172.0,8.0,0.0,23.0,187.0,165.0,0.0,88.24%,74.74%,13.50%,88.24%,,,,,,,,,,,
"VIRGINIA, UNIVERSITY OF",2022,2021.0,318.0,4.0,0.0,14.0,328.0,311.0,0.0,94.82%,79.90%,14.92%,94.82%,,,,,,,,,,,
WAKE FOREST UNIVERSITY,2022,2021.0,170.0,9.0,4.0,0.0,157.0,148.0,0.0,94.27%,78.63%,15.64%,94.27%,,,,,,,,,,,
WASHBURN UNIVERSITY,2022,2021.0,101.0,15.0,0.0,13.0,99.0,71.0,0.0,71.72%,78.76%,-7.04%,71.72%,,,,,,,,,,,
WASHINGTON AND LEE UNIVERSITY,2022,2021.0,118.0,4.0,0.0,14.0,128.0,111.0,0.0,86.72%,78.29%,8.43%,86.72%,,,,,,,,,,,
WASHINGTON UNIVERSITY,2022,2021.0,246.0,21.0,0.0,14.0,239.0,219.0,0.0,91.63%,79.26%,12.37%,91.63%,,,,,,,,,,,
"WASHINGTON, UNIVERSITY OF",2022,2021.0,166.0,20.0,0.0,9.0,155.0,142.0,0.0,92.21%,82.05%,10.16%,91.61%,,,,,,,,,,,
WAYNE STATE UNIVERSITY,2022,2021.0,131.0,30.0,0.0,20.0,121.0,101.0,0.0,83.47%,72.35%,11.12%,83.47%,,,,,,,,,,,
WEST VIRGINIA UNIVERSITY,2022,2021.0,103.0,8.0,0.0,11.0,106.0,68.0,0.0,64.15%,64.44%,-0.29%,64.15%,,,,,,,,,,,
WESTERN MICHIGAN UNIVERSITY,2022,2021.0,429.0,140.0,0.0,104.0,393.0,149.0,0.0,37.91%,73.05%,-35.14%,37.91%,,,,,,,,,,,
WESTERN NEW ENGLAND UNIVERSITY,2022,2021.0,73.0,6.0,0.0,2.0,69.0,38.0,0.0,55.07%,77.84%,-22.77%,55.07%,,,,,,,,,,,
WESTERN STATE COLLEGE OF LAW,2022,2021.0,76.0,25.0,0.0,37.0,88.0,48.0,0.0,54.54%,76.99%,-22.45%,54.55%,,,,,,,,,,,
WIDENER UNIVERSITY-DELAWARE,2022,2021.0,185.0,27.0,0.0,44.0,202.0,111.0,0.0,54.95%,72.77%,-17.82%,54.95%,,,,,,,,,,,
WIDENER-COMMONWEALTH,2022,2021.0,84.0,20.0,0.0,25.0,89.0,50.0,0.0,56.18%,75.82%,-19.64%,56.18%,,,,,,,,,,,
WILLAMETTE UNIVERSITY,2022,2021.0,101.0,10.0,0.0,1.0,92.0,63.0,0.0,68.48%,80.43%,-11.95%,68.48%,,,,,,,,,,,
WILLIAM AND MARY LAW SCHOOL,2022,2021.0,179.0,10.0,4.0,13.0,178.0,167.0,0.0,93.82%,78.66%,15.16%,93.82%,,,,,,,,,,,
"WISCONSIN, UNIVERSITY OF",2022,2021.0,265.0,253.0,3.0,1.0,10.0,9.0,248.0,90.00%,77.46%,12.54%,99.61%,,,,,,,,,,,
"WYOMING, UNIVERSITY OF",2022,2021.0,73.0,9.0,0.0,3.0,72.0,51.0,0.0,70.84%,75.47%,-4.63%,70.83%,,,,,,,,,,,
YALE UNIVERSITY,2022,2021.0,221.0,32.0,0.0,26.0,215.0,211.0,0.0,98.14%,80.69%,17.45%,98.14%,,,,,,,,,,,
*Law School pass rate is how the Law School’s graduates performed across all jurisdictions where they took the bar examination for the first time.,2022,,,,,,,,,,,,,,,,,,,,,,,
"**The ABA weighted average bar pass rate is the average pass rate for graduates from ABA-accredited law schools for each jurisdiction in which the Law School’s graduates sat for the bar exam. This number is weighted so that bar pass rates from ju  
    
  risdictions where more of the Law School’s graduates sat for the bar exam have a greater impact on the ABA weighted average bar pass rate than bar pass rates from jurisdictions where fewer of the Law School’s graduates sat for the bar exam.",2022,,,,,,,,,,,,,,,,,,,,,,,
"***The difference between the Law School pass rate and the ABA weighted average bar pass rate compares the performance of the Law School’s graduates on the bar exam in all jurisdictions where they took the bar exam for the first time with the per  
    
  formance of graduates from all ABA-accredited law schools on the bar exam in those same jurisdictions.",2022,,,,,,,,,,,,,,,,,,,,,,,
"Akron, The University of",2023,,,,0.0,31.0,111.0,82.0,,73.87%,78.64%,-4.77%,,124.0,44.0,0.0,0.0,73.87%,,,,,,
"Alabama, The University of",2023,,,,2.0,4.0,126.0,115.0,,91.27%,80.36%,10.91%,,132.0,8.0,0.0,0.0,91.27%,,,,,,
Albany Law School,2023,,,,3.0,28.0,161.0,114.0,,70.81%,82.39%,-11.58%,,156.0,28.0,8.0,0.0,70.81%,,,,,,
American University,2023,,,,,49.0,315.0,230.0,,73.02%,78.02%,-5%,,315.0,49.0,0.0,,73.02%,,,,,,
Appalachian School of Law,2023,,,,1.0,10.0,41.0,21.0,,51.22%,74.92%,-23.7%,,39.0,7.0,0.0,0.0,51.22%,,,,,,
Arizona State University,2023,,,,4.0,16.0,258.0,218.0,,84.5%,71.66%,12.84%,,267.0,28.0,7.0,0.0,84.50%,,,,,,
"Arizona, The University of",2023,,,,0.0,21.0,136.0,98.0,,72.06%,73.16%,-1.1%,,127.0,24.0,12.0,0.0,72.06%,,,,,,
"Arkansas at Little Rock, University of",2023,,,,0.0,8.0,138.0,97.0,,70.29%,73.74%,-3.45%,,140.0,10.0,0.0,0.0,70.29%,,,,,,
"Arkansas, University of",2023,,,,13.0,7.0,94.0,77.0,,81.91%,73.86%,8.05%,,112.0,12.0,0.0,0.0,81.91%,,,,,,
Atlanta's John Marshall Law School,2023,,,,1.0,10.0,55.0,36.0,,65.45%,78.06%,-12.61%,,58.0,12.0,0.0,0.0,65.45%,,,,,,
Ave Maria School of Law,2023,,,,0.0,23.0,74.0,49.0,,66.22%,66.23%,-0.01%,,85.0,34.0,0.0,0.0,66.22%,,,,,,
"Baltimore, University of",2023,,,,0.0,28.0,172.0,104.0,,60.47%,75.96%,-15.49%,,188.0,44.0,0.0,0.0,60.47%,,,,,,
Barry University,2023,,,,3.0,43.0,166.0,82.0,,49.4%,65.51%,-16.11%,,168.0,42.0,0.0,0.0,49.40%,,,,,,
Baylor University,2023,,,,0.0,15.0,137.0,126.0,,91.97%,75.29%,16.68%,,144.0,22.0,0.0,0.0,91.97%,,,,,,
Belmont University,2023,,,,0.0,4.0,116.0,101.0,,87.07%,71.54%,15.53%,,120.0,8.0,0.0,0.0,87.07%,,,,,,
Boston College,2023,,,,0.0,2.0,243.0,223.0,,91.77%,80.3%,11.47%,,260.0,19.0,0.0,0.0,91.77%,,,,,,
Boston University,2023,,,,,7.0,221.0,203.0,,91.86%,79.18%,12.68%,,228.0,17.0,3.0,,91.86%,,,,,,
Brigham Young University,2023,,,,0.0,11.0,117.0,109.0,,93.16%,82.67%,10.49%,,119.0,13.0,0.0,0.0,93.16%,,,,,,
Brooklyn Law School,2023,,,,3.0,20.0,348.0,266.0,,76.44%,82.06%,-5.62%,,342.0,11.0,0.0,0.0,76.44%,,,,,,
"Buffalo, University at",2023,,,,4.0,7.0,129.0,97.0,,75.19%,82.39%,-7.2%,,127.0,7.0,6.0,0.0,75.19%,,,,,,
California Western School of Law,2023,,,,0.0,18.0,215.0,115.0,,53.49%,71.99%,-18.5%,,271.0,74.0,0.0,0.0,53.49%,,,,,,
"California-Berkeley, University of",2023,,,,2.0,4.0,346.0,323.0,,93.35%,74.41%,18.94%,,358.0,14.0,0.0,0.0,93.35%,,,,,,
"California-Davis, University of",2023,,,,5.0,11.0,214.0,175.0,,81.78%,72.4%,9.38%,,217.0,9.0,0.0,0.0,81.78%,,,,,,
"California-Irvine, University of",2023,,,,0.0,11.0,141.0,119.0,,84.4%,72.73%,11.67%,,140.0,10.0,0.0,0.0,84.40%,,,,,,
"California-Los Angeles, University of",2023,,,,18.0,14.0,332.0,307.0,,92.47%,73.23%,19.24%,,339.0,3.0,0.0,0.0,92.47%,,,,,,
"California-San Francisco, University of",2023,,,,0.0,21.0,306.0,217.0,,70.92%,72.52%,-1.6%,,308.0,23.0,0.0,0.0,70.92%,,,,,,
Campbell University,2023,,,,0.0,2.0,147.0,111.0,,75.51%,72.38%,3.13%,,157.0,12.0,0.0,0.0,75.51%,,,,,,
Capital University Law School,2023,,,,0.0,21.0,137.0,100.0,,72.99%,78.37%,-5.38%,,133.0,17.0,0.0,0.0,72.99%,,,,,,
"Cardozo, Yeshiva University",2023,,,,8.0,11.0,284.0,237.0,,83.45%,81.75%,1.7%,,280.0,6.0,7.0,0.0,83.45%,,,,,,
Case Western Reserve University,2023,,,,0.0,10.0,114.0,99.0,,86.84%,77.92%,8.92%,,115.0,11.0,0.0,0.0,86.84%,,,,,,
"Catholic University of America, The",2023,,,,0.0,12.0,119.0,93.0,,78.15%,77.2%,0.95%,,110.0,3.0,0.0,0.0,78.15%,,,,,,
Chapman University,2023,,,,0.0,0.0,140.0,104.0,,74.29%,72.01%,2.28%,,142.0,2.0,0.0,0.0,74.29%,,,,,,
Charleston School of Law,2023,,,,3.0,35.0,166.0,106.0,,63.86%,76.26%,-12.4%,,169.0,35.0,0.0,0.0,63.86%,,,,,,
"Chicago, The University of",2023,,,,0.0,4.0,209.0,197.0,,94.26%,76.96%,17.3%,,218.0,13.0,0.0,0.0,94.26%,,,,,,
"Chicago-Kent, Illinois Institute of Technology",2023,,,,34.0,33.0,205.0,160.0,,78.05%,75.02%,3.03%,,224.0,18.0,0.0,0.0,78.05%,,,,,,
"Cincinnati, University of",2023,,,,5.0,0.0,116.0,92.0,,79.31%,77.88%,1.43%,,127.0,6.0,0.0,0.0,79.31%,,,,,,
"City University of New York, University of",2023,,,,,4.0,169.0,126.0,,74.56%,81.81%,-7.25%,,188.0,23.0,,,74.56%,,,,,,
Cleveland State University,2023,,,,2.0,14.0,127.0,99.0,,77.95%,78.5%,-0.55%,,133.0,18.0,0.0,0.0,77.95%,,,,,,
"Colorado, University of",2023,,,,0.0,19.0,160.0,135.0,,84.38%,74.18%,10.2%,,161.0,20.0,0.0,0.0,84.38%,,,,,,
Columbia University,2023,,,,2.0,4.0,397.0,372.0,,93.7%,81.31%,12.39%,,400.0,17.0,12.0,0.0,93.70%,,,,,,
"Connecticut, University of",2023,,,,,9.0,130.0,111.0,,85.38%,73.02%,12.36%,,151.0,30.0,,,85.38%,,,,,,
Cooley Law School,2023,,,,0.0,104.0,250.0,90.0,,36%,71.36%,-35.36%,,248.0,102.0,0.0,0.0,36.00%,,,,,,
Cornell University,2023,,,,7.0,8.0,196.0,177.0,,90.31%,80.52%,9.79%,,182.0,4.0,17.0,0.0,90.31%,,,,,,
Creighton University,2023,,,,0.0,13.0,107.0,74.0,,69.16%,79.43%,-10.27%,,117.0,23.0,0.0,0.0,69.16%,,,,,,
"Dayton, University of",2023,,,,0.0,6.0,86.0,65.0,,75.58%,76.81%,-1.23%,,87.0,7.0,0.0,0.0,75.58%,,,,,,
"Denver, University of",2023,,,,2.0,29.0,225.0,176.0,,78.22%,74.35%,3.87%,,243.0,45.0,0.0,0.0,78.22%,,,,,,
DePaul University,2023,,,,6.0,10.0,174.0,119.0,,68.39%,74.95%,-6.56%,,186.0,16.0,0.0,0.0,68.39%,,,,,,
"Detroit Mercy, University of",2023,,,,1.0,14.0,92.0,72.0,,78.26%,74.71%,3.55%,,185.0,106.0,0.0,0.0,78.26%,,,,,,
"District of Columbia, University of",2023,,,,0.0,11.0,65.0,22.0,,33.85%,78.15%,-44.3%,,66.0,12.0,0.0,0.0,33.85%,,,,,,
Drake University,2023,,,,0.0,19.0,103.0,91.0,,88.35%,81.67%,6.68%,,96.0,12.0,0.0,0.0,88.35%,,,,,,
Drexel University,2023,,,,0.0,13.0,160.0,115.0,,71.88%,72.79%,-0.91%,,159.0,12.0,0.0,0.0,71.88%,,,,,,
Duke University,2023,,,,0.0,6.0,214.0,202.0,,94.39%,77.21%,17.18%,,213.0,7.0,2.0,0.0,94.39%,,,,,,
Duquesne University,2023,,,,3.0,0.0,121.0,100.0,,82.64%,73.46%,9.18%,,129.0,5.0,0.0,0.0,82.64%,,,,,,
Elon University,2023,,,,0.0,125.0,125.0,64.0,,51.2%,73.57%,-22.37%,,127.0,127.0,0.0,0.0,51.20%,,,,,,
Emory University,2023,,,,0.0,8.0,229.0,202.0,,88.21%,77.77%,10.44%,,248.0,27.0,0.0,0.0,88.21%,,,,,,
Faulkner University,2023,,,,,8.0,44.0,30.0,,65.91%,80.67%,-14.76%,,45.0,9.0,,0.0,68.18%,,,,,,
Florida A&M University,2023,,,,11.0,32.0,140.0,75.0,,53.57%,65.98%,-12.41%,,154.0,35.0,0.0,0.0,53.57%,,,,,,
Florida International University,2023,,,,0.0,24.0,162.0,130.0,,80.25%,64.23%,16.02%,,158.0,20.0,0.0,0.0,80.25%,,,,,,
Florida State University,2023,,,,3.0,24.0,215.0,167.0,,77.21%,64.5%,12.71%,,212.0,18.0,0.0,0.0,77.67%,,,,,,
"Florida, University of",2023,,,,0.0,32.0,211.0,162.0,,76.78%,66.69%,10.09%,,221.0,42.0,0.0,0.0,76.78%,,,,,,
Fordham University,2023,,,,7.0,13.0,385.0,349.0,,90.65%,82.09%,8.56%,,395.0,23.0,7.0,0.0,90.65%,,,,,,
George Mason University,2023,,,,0.0,15.0,135.0,118.0,,87.41%,77.86%,9.55%,,150.0,30.0,0.0,0.0,87.41%,,,,,,
"George Washington University, The",2023,,,,51.0,0.0,509.0,438.0,,86.05%,78.96%,7.09%,,565.0,5.0,0.0,0.0,86.05%,,,,,,
Georgetown University,2023,,,,37.0,66.0,681.0,624.0,,91.63%,78.97%,12.66%,,652.0,0.0,0.0,0.0,91.63%,,,,,,
Georgia State University,2023,,,,25.0,0.0,167.0,138.0,,79.04%,78.24%,0.8%,,213.0,21.0,0.0,0.0,82.63%,,,,,,
"Georgia, University of",2023,,,,0.0,8.0,192.0,171.0,,89.06%,77.48%,11.58%,,196.0,12.0,0.0,0.0,89.06%,,,,,,
Gonzaga University,2023,,,,0.0,12.0,119.0,84.0,,71.43%,77.56%,-6.13%,,128.0,21.0,0.0,0.0,70.59%,,,,,,
Harvard University,2023,,,,30.0,22.0,586.0,577.0,,98.46%,78.78%,19.68%,,608.0,16.0,2.0,0.0,98.46%,,,,,,
"Hawaii, University of",2023,,,,0.0,24.0,104.0,74.0,,72.12%,74.78%,-2.66%,,104.0,25.0,1.0,0.0,71.15%,,,,,,
Hofstra University,2023,,,,0.0,10.0,255.0,177.0,,69.41%,81.9%,-12.49%,,249.0,14.0,10.0,0.0,69.41%,,,,,,
"Houston, University of",2023,,,,5.0,26.0,205.0,171.0,,83.9%,75.41%,8.49%,,208.0,24.0,0.0,0.0,83.41%,,,,,,
Howard University,2023,,,,0.0,6.0,133.0,89.0,,65.41%,79.17%,-13.76%,,160.0,33.0,0.0,0.0,66.92%,,,,,,
"Idaho, University of",2023,,,,6.0,19.0,157.0,99.0,,63.06%,70.97%,-7.91%,,162.0,18.0,0.0,0.0,63.06%,,,,,,
"Illinois, University of",2023,,,,0.0,2.0,126.0,114.0,,90.48%,74.99%,15.49%,,129.0,5.0,0.0,0.0,90.48%,,,,,,
"Illinois-Chicago, University of",2023,,,,9.0,63.0,264.0,138.0,,52.27%,75.01%,-22.74%,,271.0,61.0,0.0,0.0,52.27%,,,,,,
Indiana University-Bloomington,2023,,,,0.0,11.0,171.0,141.0,,82.46%,75.56%,6.9%,,173.0,15.0,2.0,0.0,82.46%,,,,,,
Indiana University-Indianapolis,2023,,,,0.0,45.0,222.0,164.0,,73.87%,75.17%,-1.3%,,235.0,60.0,2.0,0.0,73.87%,,,,,,
Inter American University of Puerto Rico,2023,,,,24.0,16.0,109.0,54.0,,49.54%,47.21%,2.33%,,188.0,71.0,0.0,0.0,49.54%,,,,,,
"Iowa, University of",2023,,,,2.0,9.0,144.0,122.0,,84.72%,80.5%,4.22%,,161.0,25.0,1.0,0.0,84.72%,,,,,,
"Kansas, The University of",2023,,,,0.0,10.0,103.0,88.0,,85.44%,79.41%,6.03%,,95.0,2.0,0.0,0.0,85.44%,,,,,,
"Kentucky, University of",2023,,,,0.0,5.0,76.0,63.0,,82.89%,71.27%,11.62%,,86.0,15.0,0.0,0.0,82.89%,,,,,,
Lewis & Clark Law School,2023,,,,0.0,22.0,173.0,136.0,,78.61%,77.31%,1.3%,,176.0,26.0,1.0,0.0,78.61%,,,,,,
Liberty University,2023,,,,0.0,8.0,69.0,53.0,,76.81%,74.08%,2.73%,,67.0,6.0,0.0,0.0,76.81%,,,,,,
Lincoln Memorial University,2023,,,,0.0,12.0,82.0,51.0,,62.2%,72.3%,-10.1%,,82.0,12.0,0.0,0.0,62.20%,,,,,,
Louisiana State University,2023,,,,26.0,1.0,155.0,130.0,,83.87%,73.54%,10.33%,,196.0,16.0,0.0,0.0,83.87%,,,,,,
"Louisville, University of",2023,,,,0.0,22.0,93.0,61.0,,65.59%,71.01%,-5.42%,,87.0,16.0,0.0,0.0,65.59%,,,,,,
Loyola Marymount University-Los Angeles,2023,,,,0.0,24.0,324.0,259.0,,79.94%,72.28%,7.66%,,334.0,34.0,0.0,0.0,79.94%,,,,,,
Loyola University-Chicago,2023,,,,37.0,0.0,220.0,175.0,,79.09%,75.06%,4.03%,,258.0,1.0,0.0,0.0,79.55%,,,,,,
Loyola University-New Orleans,2023,,,,4.0,16.0,147.0,105.0,,71.43%,73.62%,-2.19%,,152.0,17.0,0.0,0.0,71.43%,,,,,,
"Maine, University of",2023,,,,0.0,7.0,76.0,58.0,,76.32%,71.93%,4.39%,,73.0,4.0,0.0,0.0,76.32%,,,,,,
Marquette University,2023,,,,0.0,0.0,1.0,1.0,,100%,79.16%,20.84%,,187.0,186.0,0.0,185.0,100.00%,,,,,,
"Maryland, University of",2023,,,,5.0,16.0,190.0,152.0,,80.42%,76.37%,4.05%,,199.0,21.0,1.0,,80.00%,,,,,,
"Massachusetts/Dartmouth, University of",2023,,,,0.0,10.0,88.0,48.0,,54.55%,76.64%,-22.09%,,84.0,6.0,0.0,0.0,54.55%,,,,,,
"Memphis, The University of",2023,,,,3.0,17.0,103.0,67.0,,65.05%,71.94%,-6.89%,,116.0,27.0,0.0,0.0,65.05%,,,,,,
Mercer University,2023,,,,0.0,1.0,116.0,90.0,,77.59%,77.95%,-0.36%,,120.0,5.0,0.0,0.0,77.59%,,,,,,
"Miami, University of",2023,,,,0.0,72.0,378.0,264.0,,69.84%,66.36%,3.48%,,366.0,60.0,0.0,0.0,69.84%,,,,,,
Michigan State University,2023,,,,0.0,19.0,173.0,134.0,,77.46%,74.23%,3.23%,,229.0,75.0,0.0,0.0,77.46%,,,,,,
"Michigan, University of",2023,,,,20.0,12.0,310.0,297.0,,95.48%,77.67%,17.81%,,322.0,4.0,0.0,0.0,95.81%,,,,,,
"Minnesota, University of",2023,,,,0.0,10.0,230.0,215.0,,93.48%,83.03%,10.45%,,235.0,15.0,0.0,0.0,93.48%,,,,,,
Mississippi College,2023,,,,0.0,16.0,104.0,68.0,,65.38%,74.66%,-9.28%,,109.0,21.0,0.0,0.0,65.38%,,,,,,
"Mississippi, The University of",2023,,,,0.0,20.0,131.0,85.0,,64.89%,74.48%,-9.59%,,147.0,36.0,0.0,0.0,64.89%,,,,,,
"Missouri, University of",2023,,,,0.0,7.0,87.0,79.0,,90.8%,78.67%,12.13%,,88.0,8.0,0.0,0.0,90.80%,,,,,,
"Missouri-Kansas City, University of",2023,,,,0.0,33.0,117.0,92.0,,78.63%,78.76%,-0.13%,,111.0,27.0,0.0,0.0,78.63%,,,,,,
Mitchell/Hamline School of Law,2023,,,,0.0,56.0,324.0,232.0,,71.6%,80.24%,-8.64%,,333.0,67.0,2.0,0.0,71.60%,,,,,,
"Montana, University of",2023,,,,8.0,7.0,71.0,59.0,,83.1%,75.49%,7.61%,,84.0,12.0,0.0,0.0,83.10%,,,,,,
"Nebraska, University of",2023,,,,0.0,6.0,127.0,109.0,,85.83%,80.15%,5.68%,,140.0,19.0,0.0,0.0,85.83%,,,,,,
"Nevada-Las Vegas, University of",2023,,,,1.0,36.0,142.0,103.0,,72.54%,63.62%,8.92%,,135.0,28.0,0.0,0.0,72.54%,,,,,,
New England Law/Boston,2023,,,,26.0,5.0,231.0,172.0,,74.46%,79.53%,-5.07%,,283.0,31.0,0.0,0.0,74.46%,,,,,,
"New Hampshire, University of",2023,,,,0.0,2.0,84.0,73.0,,86.9%,68.32%,18.58%,,123.0,41.0,1.0,0.0,86.90%,,,,,,
"New Mexico, The University of",2023,,,,16.0,12.0,74.0,60.0,,81.08%,78.04%,3.04%,,83.0,5.0,0.0,0.0,81.08%,,,,,,
New York Law School,2023,,,,40.0,16.0,342.0,248.0,,72.51%,81.54%,-9.03%,,366.0,0.0,0.0,0.0,72.51%,,,,,,
New York University,2023,,,,0.0,10.0,471.0,447.0,,94.9%,81.01%,13.89%,,463.0,10.0,8.0,0.0,94.90%,,,,,,
North Carolina Central University,2023,,,,1.0,11.0,126.0,54.0,,42.86%,73.01%,-30.15%,,133.0,17.0,0.0,0.0,42.86%,,,,,,
"North Carolina, University of",2023,,,,6.0,6.0,176.0,166.0,,93.75%,73.27%,20.48%,,192.0,16.0,0.0,0.0,94.32%,,,,,,
"North Dakota, University of",2023,,,,1.0,15.0,73.0,46.0,,63.01%,71.8%,-8.79%,,83.0,24.0,0.0,0.0,63.01%,,,,,,
"North Texas at Dallas, University of",2023,,,,0.0,6.0,107.0,65.0,,60.75%,75.31%,-14.56%,,109.0,8.0,0.0,0.0,60.75%,,,,,,
Northeastern University,2023,,,,3.0,10.0,180.0,161.0,,89.44%,79.54%,9.9%,,191.0,18.0,0.0,0.0,89.44%,,,,,,
Northern Illinois University,2023,,,,0.0,26.0,99.0,59.0,,58.59%,75.32%,-16.73%,,89.0,16.0,0.0,0.0,59.60%,,,,,,
Northern Kentucky University,2023,,,,16.0,25.0,113.0,79.0,,69.91%,74.04%,-4.13%,,112.0,8.0,0.0,0.0,69.91%,,,,,,
Northwestern University,2023,,,,0.0,0.0,253.0,235.0,,92.89%,76.19%,16.7%,,265.0,12.0,0.0,0.0,92.89%,,,,,,
